month,no_of_rainy_days,total_rainfall,mean_temp,mean_re_humid,year
01,10,107.1,25.9,81.2,1982
02,5,27.8,27.1,79.5,1982
03,11,160.8,27.2,82.3,1982
04,14,157.0,27.0,85.9,1982
05,10,102.2,28.0,83.2,1982
06,8,59.5,28.4,80.3,1982
07,8,76.3,28.2,77.6,1982
08,11,169.5,27.7,80.4,1982
09,9,54.1,27.9,80.6,1982
10,10,39.3,27.4,81.5,1982
11,13,134.0,27.3,83.4,1982
12,21,494.1,26.2,87.7,1982
01,18,246.0,26.5,85.6,1983
02,2,5.6,28.1,78.0,1983
03,2,18.6,28.9,76.0,1983
04,4,33.6,29.4,77.2,1983
05,11,160.8,28.3,83.2,1983
06,11,94.0,28.3,82.4,1983
07,18,190.0,27.6,83.7,1983
08,10,262.2,28.1,81.2,1983
09,18,170.8,27.2,84.4,1983
10,17,212.7,27.6,82.5,1983
11,18,228.8,26.6,85.2,1983
12,16,370.6,25.4,88.0,1983
01,18,251.2,25.5,85.8,1984
02,19,470.4,25.8,86.0,1984
03,19,361.3,26.5,85.4,1984
04,17,153.1,27.3,83.8,1984
05,12,186.5,27.3,84.1,1984
06,14,255.0,27.5,83.1,1984
07,12,127.2,27.2,83.7,1984
08,13,102.7,27.4,84.1,1984
09,17,186.7,26.8,83.9,1984
10,11,187.5,27.4,82.5,1984
11,17,127.7,26.5,86.3,1984
12,22,277.4,26.0,86.7,1984
01,7,111.1,26.6,81.5,1985
02,11,79.3,27.0,84.0,1985
03,13,88.0,27.1,83.9,1985
04,14,110.5,27.5,83.8,1985
05,12,70.1,28.0,83.4,1985
06,14,37.0,28.2,79.4,1985
07,17,131.8,27.0,83.1,1985
08,11,56.9,27.7,80.4,1985
09,18,110.7,26.9,83.1,1985
10,21,169.0,26.7,84.7,1985
11,21,179.4,26.6,85.0,1985
12,22,340.1,26.1,86.2,1985
01,13,308.2,25.7,83.9,1986
02,2,26.7,26.9,78.4,1986
03,17,353.4,26.4,86.6,1986
04,14,150.0,27.4,85.3,1986
05,13,145.1,28.2,81.8,1986
06,13,122.9,27.9,82.5,1986
07,12,109.7,27.9,79.9,1986
08,11,72.9,28.3,77.3,1986
09,22,396.0,26.7,84.4,1986
10,20,227.3,26.9,85.0,1986
11,21,256.7,26.6,84.1,1986
12,16,367.2,26.3,85.2,1986
01,16,568.6,25.5,86.0,1987
02,7,86.9,26.6,79.0,1987
03,12,132.5,27.5,83.2,1987
04,10,72.5,27.9,82.8,1987
05,16,270.0,27.6,84.6,1987
06,15,126.6,28.7,80.7,1987
07,11,80.9,28.1,81.3,1987
08,16,191.9,27.4,83.6,1987
09,11,129.9,27.6,82.5,1987
10,9,22.6,27.9,82.1,1987
11,17,347.6,27.3,84.0,1987
12,11,72.8,26.4,84.6,1987
01,15,237.5,26.8,84.3,1988
02,9,158.1,27.1,83.2,1988
03,15,186.8,27.3,85.3,1988
04,13,109.6,27.8,84.5,1988
05,14,229.6,28.4,82.7,1988
06,13,252.2,28.0,81.6,1988
07,15,305.4,27.3,84.0,1988
08,14,80.1,27.0,84.9,1988
09,14,440.4,27.1,84.5,1988
10,17,134.6,27.5,83.2,1988
11,23,401.4,26.3,86.8,1988
12,11,62.9,26.2,81.1,1988
01,10,189.7,26.5,84.1,1989
02,3,52.4,26.6,78.3,1989
03,21,305.9,26.3,87.6,1989
04,17,198.6,27.0,86.4,1989
05,12,194.0,27.3,86.6,1989
06,12,117.6,27.5,83.3,1989
07,12,157.6,27.7,82.6,1989
08,18,201.0,27.1,83.7,1989
09,14,247.3,26.9,84.4,1989
10,16,111.0,27.1,83.7,1989
11,20,508.4,26.7,86.0,1989
12,18,179.7,26.3,85.5,1989
01,13,147.4,26.2,83.8,1990
02,8,24.1,27.6,80.9,1990
03,4,94.2,28.2,77.6,1990
04,10,52.4,28.5,81.2,1990
05,11,180.1,28.6,81.1,1990
06,9,112.6,28.3,80.7,1990
07,12,124.0,27.5,82.7,1990
08,13,146.6,28.0,82.3,1990
09,17,204.5,27.2,83.2,1990
10,12,56.4,27.5,83.5,1990
11,17,180.4,27.2,83.5,1990
12,16,201.1,26.3,86.0,1990
01,13,123.9,26.7,84.1,1991
02,7,45.5,27.1,81.6,1991
03,10,92.4,27.8,79.9,1991
04,13,134.2,27.7,84.3,1991
05,23,256.4,27.7,86.6,1991
06,9,88.7,28.6,81.0,1991
07,8,37.3,28.5,78.7,1991
08,8,226.2,28.2,79.8,1991
09,12,123.1,27.5,83.0,1991
10,5,52.0,27.5,81.4,1991
11,19,205.0,26.3,86.5,1991
12,19,492.3,25.6,90.7,1991
01,9,83.9,26.6,82.4,1992
02,4,62.4,27.5,80.5,1992
03,6,67.6,28.2,80.6,1992
04,13,160.3,28.4,82.4,1992
05,13,63.1,28.1,83.3,1992
06,14,162.8,28.0,82.7,1992
07,19,290.8,27.3,83.8,1992
08,11,76.1,27.8,81.1,1992
09,13,83.6,27.3,82.9,1992
10,20,233.2,27.4,82.0,1992
11,18,474.3,26.1,87.7,1992
12,23,502.7,25.5,90.3,1992
01,11,176.4,26.2,85.7,1993
02,8,69.2,26.7,80.5,1993
03,14,250.5,26.7,86.3,1993
04,20,283.9,27.6,84.5,1993
05,10,129.9,28.2,82.9,1993
06,17,115.5,28.5,80.9,1993
07,15,240.0,27.9,83.2,1993
08,11,106.8,28.6,79.4,1993
09,7,61.7,27.9,81.4,1993
10,13,175.5,27.5,84.3,1993
11,18,250.8,26.9,87.4,1993
12,19,308.5,26.5,87.4,1993
01,7,56.9,26.9,82.1,1994
02,15,133.5,27.0,84.5,1994
03,19,288.2,26.8,87.1,1994
04,15,154.0,27.9,84.8,1994
05,16,169.6,28.1,84.8,1994
06,14,184.7,28.1,83.5,1994
07,6,53.8,28.4,78.9,1994
08,12,45.1,28.1,80.0,1994
09,6,23.7,28.3,78.7,1994
10,11,84.7,27.9,81.5,1994
11,21,322.2,26.7,88.4,1994
12,18,425.4,26.9,85.5,1994
01,21,349.4,26.8,86.2,1995
02,16,334.0,26.5,87.5,1995
03,10,67.7,27.6,83.9,1995
04,16,242.3,27.9,85.3,1995
05,11,84.4,28.5,83.7,1995
06,12,63.7,28.9,81.9,1995
07,13,173.6,28.0,82.6,1995
08,21,211.6,27.4,85.6,1995
09,7,29.5,28.3,81.6,1995
10,12,101.1,27.8,82.8,1995
11,20,372.8,27.0,86.8,1995
12,20,302.5,26.3,86.6,1995
01,10,173.2,26.2,84.2,1996
02,11,180.2,26.5,84.6,1996
03,8,129.7,27.8,81.0,1996
